AD 
PerformanceVector
PerformanceVector:
accuracy: 21.96% +/- 0.80% (micro average: 21.96%)
ConfusionMatrix:
True:	WARRANTS	OTHER OFFENSES	LARCENY/THEFT	VEHICLE THEFT	VANDALISM	NON-CRIMINAL	ROBBERY	ASSAULT	WEAPON LAWS	BURGLARY	SUSPICIOUS OCC	DRUNKENNESS	FORGERY/COUNTERFEITING	DRUG/NARCOTIC	STOLEN PROPERTY	SECONDARY CODES	TRESPASS	MISSING PERSON	FRAUD	KIDNAPPING	RUNAWAY	DRIVING UNDER THE INFLUENCE	SEX OFFENSES FORCIBLE	PROSTITUTION	DISORDERLY CONDUCT	ARSON	FAMILY OFFENSES	LIQUOR LAWS	BRIBERY	EMBEZZLEMENT	SUICIDE	LOITERING	SEX OFFENSES NON FORCIBLE	EXTORTION	GAMBLING	BAD CHECKS	TREA	RECOVERED VEHICLE	PORNOGRAPHY/OBSCENE MAT
EMBEZZLEMENT:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUICIDE:	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
LOITERING:	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEX OFFENSES NON FORCIBLE:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTORTION:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAMBLING:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAD CHECKS:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TREA:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RECOVERED VEHICLE:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PORNOGRAPHY/OBSCENE MAT:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
